Name,ImgSrc,ImgAlt,Link
DE-PA Electric,/dist/images/icons/pdf.png,,http://docs.de-pa.by/certificates/certificates-de-pa-electric.pdf
DE-PA Electric CE,/dist/images/icons/pdf.png,,http://docs.de-pa.by/certificates/certificates-de-pa-electric-ce.pdf
MONO Electric,/dist/images/icons/pdf.png,,http://docs.de-pa.by/certificates/certificates-mono-electric.pdf
RECBER KABLO,/dist/images/icons/pdf.png,,http://docs.de-pa.by/certificates/certificates-recber-kablo.pdf
ETA izolasyon ve kimya san.tic.ltd.sti.,/dist/images/icons/pdf.png,,http://docs.de-pa.by/certificates/BBA-test-61007interim-rep.pdf
