Name,ImgSrc,ImgAlt,Link
DE-PA Electric ,/dist/images/icons/pdf.png,,http://docs.de-pa.by/katalogs/katalog-de-pa-electric.pdf
DE-PA Electric 2016,/dist/images/icons/pdf.png,,http://docs.de-pa.by/katalogs/katalog-de-pa-electric-2016.pdf
DE-PA Electric 2018,/dist/images/icons/pdf.png,,http://docs.de-pa.by/katalogs/katalog-de-pa-electric-2018.pdf
DE-PA Electric 2019,/dist/images/icons/pdf.png,,http://docs.de-pa.by/katalogs/katalog-de-pa-electric-2019.pdf
MONO ELECTRIC,/dist/images/icons/pdf.png,,http://docs.de-pa.by/katalogs/katalog-mono-electric.pdf
RECBER KABLO,/dist/images/icons/pdf.png,,http://docs.de-pa.by/katalogs/katalog-recber-kablo.pdf
HISAR ELEKTRIK ,/dist/images/icons/pdf.png,,http://docs.de-pa.by/katalogs/katalog-hisar-elektrik.pdf
