Code,Name,Cost,OnBox,Img
70001 white,Розетка круглая накладная без заземлен.,"2,16",200,70001-white.png
70001 black,Розетка круглая накладная без заземлен. (Черная),"2,16",200,70001-white.png
70101 white,Розетка круглая накладная с заземлен.,"2,43",150,70101-white.png
70101 black,Розетка круглая накладная с заземлен. (Черная),"2,43",150,70101-white.png
70102,Розетка накладная с заземлен.,"3,89",120,70102.png
80000,Влагозащищенная розетка накладная без заземлен.,"3,96",120,80000.png
80002,Влагозащищенная розетка накладная без заземлен. c защитой для детей,"4,26",120,80000.png
81301,Розетка мебельная сзаземлен.,"5,54",150,81301.png
81302,Розетка встраевая с выкл. с заземлен.,"5,54",150,81301.png
