Code,Name,Cost,OnBox,Img
80101,Розетка влагозащищенная накладная с заземлен.,5.70,120,80101.png
80102,Розетка накладная с заземлен. с защитой для детей,6.10,120,80101.png
81101,Влагозащищенная розетка накладная с заземлен. с крышкой,6.68,120,81101.png
81102,Влагозащищенная розетка накладная с заземлен.с крышкой с защитой для детей,6.85,120,81101.png
82000,Влагозащищенная кнопка для звонка,5.70,120,82000.png
82001,Влагозащитный выключатель,5.70,120,82001.png
82002,Влагозащитныв выключатель двойной,5.93,120,82002.png
82003,Влагозащитный Проходной выключатель Вавиен,7.81,120,82003.png
