Show,Code,Name,Cost,OnBox,Img
1,41000,"Колодка 4 гнезда с выкл.без заземлен. ""Жемчужина""",6.98,30,/dist/images/de-pa-electric/pearl-series/41000.png
1,41002,"Удлинитель 4/2м. с выкл.без.заземлен. ""Жемчужина""",11.63,20,/dist/images/de-pa-electric/pearl-series/41000.png
1,41003,"Удлинитель 4/3м. с выкл.без.заземлен. ""Жемчужина""",13.22,20,/dist/images/de-pa-electric/pearl-series/41000.png
1,41005,"Удлинитель 4/5м. с выкл.без.заземлен. ""Жемчужина""",16.50,20,/dist/images/de-pa-electric/pearl-series/41000.png
1,41010,"Удлинитель 4/10м. с выкл.без.заземлен. ""Жемчужина""",26.30,10,/dist/images/de-pa-electric/pearl-series/41000.png
1,41100,"Колодка 4 гнезда с заземл и выкл. "" Жемчужина""",8.14,24,/dist/images/de-pa-electric/pearl-series/41100.png
1,41102,"Удлинитель 4/2м. c заземлен с выкл. "" Жемчужина""",14.41,12,/dist/images/de-pa-electric/pearl-series/41100.png
1,41103,"Удлинитель 4/3м c заземлен. с выкл. "" Жемчужина""",16.37,12,/dist/images/de-pa-electric/pearl-series/41100.png
1,41105,"Удлинитель 4/5м. c заземлен. с выкл. "" Жемчужина""",20.64,12,/dist/images/de-pa-electric/pearl-series/41100.png
1,41200,Колодка 4 гнезда с заземл.с терминалом UPS,10.57,24,/dist/images/de-pa-electric/pearl-series/41100.png
1,41202,Удлинитель 4/2м. с заземлением с выкл с UPS,16.58,12,/dist/images/de-pa-electric/pearl-series/41100.png
1,50100,"Колодка 5 гнезд c зазмлен."" Жемчужина""",7.21,24,/dist/images/de-pa-electric/pearl-series/50100.png
1,50102,"Удлинитель 5/2м. c зазмлен."" Жемчужина""",13.72,12,/dist/images/de-pa-electric/pearl-series/50100.png
1,50103,"Удлинитель 5/3 м. c зазмлен."" Жемчужина""",15.66,12,/dist/images/de-pa-electric/pearl-series/50100.png
1,50105,"Удлинитель 5/5 м. c зазмлен."" Жемчужина""",19.98,12,/dist/images/de-pa-electric/pearl-series/50100.png
1,50200,Колодка 5 гнезд с заземл. с терминалом с UPS,9.37,24,/dist/images/de-pa-electric/pearl-series/50100.png
1,50202,Удлинитель 5/2м. с заземлением с UPS,15.74,12,/dist/images/de-pa-electric/pearl-series/50100.png
1,51100,"Колодка 5 гнезд c зазмлен. с выкл. "" Жемчужина""",9.50,24,/dist/images/de-pa-electric/pearl-series/51100.png
1,51102,"Удлинитель 5/2м. c зазмлен. с выкл. "" Жемчужина""",16.01,12,/dist/images/de-pa-electric/pearl-series/51100.png
