Code,Name,Cost,OnBox,Img
80101,Розетка влагозащищенная накладная с заземлен.,"4,56",120,80101.png
80102,Розетка накладная с заземлен. с защитой для детей,"4,88",120,80101.png
81101,Влагозащищенная розетка накладная с заземлен. с крышкой,"5,34",120,81101.png
81102,Влагозащищенная розетка накладная с заземлен.с крышкой с защитой для детей,"5,48",120,81101.png
82000,Влагозащищенная кнопка для звонка,"4,56",120,82000.png
82001,Влагозащитный выключатель,"4,56",120,82001.png
82002,Влагозащитныв выключатель двойной,"4,74",120,82002.png
82003,Влагозащитный Проходной выключатель Вавиен,"6,25",120,82003.png
